author,comment,published_at
@phony4742,помогите песню наити !!!спс,2024-07-02T09:02:15Z
@personalelorenzo6922,"wow, swearwords. edgy and cool",2024-07-02T07:03:59Z
@jabhinavsuraj8b609,"Guys did you notice Casandra Nova at the portal <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=130"">2:10</a><br>She is next to Wolverine<br>Like if you found it informative",2024-07-02T05:31:44Z
@Oeyoeyoo,Disney better not mess this up,2024-07-02T05:20:36Z
@lalom3210,LFG,2024-07-02T04:41:41Z
@HabibRizwan,this is filing good,2024-07-02T02:00:19Z
@MT-tu8dt,Get goosebumps when Deadpool and Wolverine are jumping in the portal.,2024-07-02T01:07:41Z
@dhessyfernanda7103,What&#39;s name this a song?,2024-07-01T21:42:15Z
@user-bf2bm9wc6i,Was that James Mcavoy?,2024-07-01T18:55:27Z
@Elfi_-py2lg,Stray kiiiddsss,2024-07-01T18:42:47Z
@Elfi_-py2lg,Stray Kids song?,2024-07-01T18:42:31Z
@CoolKid1-rx4tn,LFG,2024-07-01T15:07:24Z
@svenachos,When old school meets new school xD,2024-07-01T13:36:15Z
@renzochannel3881,With is that?? A doctor strange portal??,2024-07-01T13:09:30Z
@gabrieldavidmusic7935,"WAITTTTTT, WAS THAT ALIOTH FROM LOKI??????????? <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=109"">1:49</a>",2024-07-01T11:42:33Z
@Justso_Weather_Vain,I have never seen or heard Like A Prayer in anything else that ever made so much sense. I love this 😂,2024-07-01T11:38:02Z
@itzvaderboy8578,Do you wanna build a snowman? ⛄️,2024-07-01T05:30:13Z
@AngelMendoza-vp2ok,27 days,2024-07-01T01:26:24Z
@XaneVidz,Epic!,2024-06-30T19:12:25Z
@horrnett,if spiderman makes a cameo then it will break the movie history.,2024-06-30T18:56:32Z
@chandrikadamayanthi7767,This is a only and great hope for next marvel projects(lets f### and go),2024-06-30T16:18:07Z
@jonathanhill6064,"I just love total, unabashed fan service. So many years, so many movies, screw Endgame, this is what the MCU was created for.",2024-06-30T13:48:00Z
@cmc1214,I wish they&#39;ll make the good the bad the ugly sequel for this with captain America. It would make sense to add cap since he was time travelling,2024-06-30T13:36:42Z
@dennisbarber4980,"And then there&#39;s good ole Stan Lee lookin down sayin &quot;You see you schmucks,it can come together when you work together....... Excelsior!!!!!&quot;...... And that puts a big smile on my face😁🙃.      L.F.G.!!!🫶🏻",2024-06-30T11:20:11Z
@fraaijen,Like a prayer &lt;3,2024-06-30T10:28:08Z
@jacobpearson3294,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=124"">2:04</a>",2024-06-30T10:11:05Z
@justinryce408,"seeing Ryans deadpool walk, its just so perfect",2024-06-30T05:41:06Z
@andrecampbell9651,Is Kane still a thing?,2024-06-30T03:39:31Z
@houstonboswell9421,LFG!!,2024-06-30T02:46:39Z
@angelomontemar3659,"LFG, Let’s Freaking Go. (Seth Rogen laughs).",2024-06-29T23:20:31Z
@JoseMarquez-em5wi,Deadpool and Wolverine ❤️💛<br>The film could save the MCU,2024-06-29T21:56:02Z
@akivalu,"LIEFIELDS, JUST FEET 🤣",2024-06-29T21:41:03Z
@22CaptainAmerica,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=126"">2:06</a>",2024-06-29T21:15:09Z
@TodKF,this ONE movie that I am looking for. In wery long time.,2024-06-29T20:55:38Z
@rajmohan9921,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=95"">1:35</a>",2024-06-29T20:37:36Z
@TheSpliffstarEffect,"Goddamn it, seeing Hugh in the classic suit will never, ever get old.",2024-06-29T16:20:33Z
@jcparker2621,They should named the title Ketchup and Mustard! 😂,2024-06-29T16:19:13Z
@JustFrameSieghart,"Song - Like a Prayer , Madonna",2024-06-29T15:37:08Z
@pranavm6214,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=139"">2:19</a> wrong German subtitles lol",2024-06-29T14:07:27Z
@SukhbirSingh-zu6nk,This is the comics wolverine which gets in the illusion of mysterio and killed all x-mens.,2024-06-29T11:49:05Z
@yinloveyang,I will forever regret not watching Logan in theaters but I&#39;m so super excited I&#39;ve got another chance 😊😊😊 possibly the last one so this is the movie I will definitely see!!!!,2024-06-29T11:01:33Z
@proficientprateek5384,"WITH THE OPULENCE OF FIRST 2 PARTS OF DEADPOOL , THIS MOVIE IS GOINF TO BE THE  BEST BANGER OF DEADPOOL SERIES , FAN FAV. WOLVERINE AKA Hugh Jackman ( After the final part of wolverine series , i though i wont see him again as wolverine EVER AGAIN  )  teamed up with wolverine&#39;s most fked friend deadpool <br>this movie gonna smithereens all the records previously held by both the part of deadpool movies",2024-06-29T07:35:05Z
@Xcutioner220,Just cancel this horrible movie already.,2024-06-29T07:19:47Z
@Tajus-vr6qu,What is the songs mane,2024-06-29T07:16:49Z
@JeffUy287,"Wait wait wait... Before I watch this, is there a movie and / or series I gonna watch first?",2024-06-29T05:55:45Z
@averagejoe77_,LFG,2024-06-29T04:26:56Z
@MundusFate,peak!! 🔥,2024-06-29T03:05:35Z
@josgor9061,THE XMAN,2024-06-29T00:55:06Z
@joebalusikiii5811,The &quot;Liefeld&#39;s Only Feet&quot; store KILLED ME!!!!!,2024-06-28T21:04:54Z
@tyeneverson7466,I&#39;m going to see it tonite ❤🔥 🔥 🔥,2024-06-28T20:41:31Z
@NEUROCANAL,The best film,2024-06-28T20:23:12Z
@Costin_Gaming,I&#39;m all for having some limits for moral reasons....<br><br>...but of all the things Kevin Feige had to draw a line at Cocaine wouldn&#39;t have been my first choice!,2024-06-28T19:18:19Z
@IS6A6E,Just noticed the logo for the 20th Century Fox,2024-06-28T19:06:08Z
@EnneSayne,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=65"">1:05</a> at 0.25x speed",2024-06-28T18:33:19Z
@JoyboySR,Dr.strange??,2024-06-28T18:26:34Z
@firebarrier2004,I saw the trailer today at the cinema while i was expecting for the &quot;a quiet place: day one&quot; movie to begin.<br>Me: f*<b>*</b> it&#39;s Like a Prayer<br>My body: jump man. Jump.<br>My heart: i&#39;m gonna explode,2024-06-28T16:51:29Z
@anjicrz,"XMEN CONTINUOUSLY SHOWING FINALLY AFTER MOM, MCU KEEP ON SHINING",2024-06-28T15:15:37Z
@Nalgita97,Check the hot toy on sideshow to see the mask,2024-06-28T14:52:30Z
@DimaTerekhov-ns5qc,"Let&#39;s begin,  ♥️ x 💛= 💯",2024-06-28T13:59:06Z
@hannahmatthews8807,i love my bubba !!!!,2024-06-28T13:42:09Z
@PugsRSoCool101,LFG,2024-06-28T12:19:55Z
@sunnyhussain5205,What song is this?,2024-06-28T12:12:28Z
@Mango-s3d,Bro if you put it on 0.25x speed its too funny😂😂😂,2024-06-28T11:42:19Z
@judithtjed,I just pre ordered. I am going to see it 24 th july,2024-06-28T10:58:50Z
@Nayeon4eva,LETS FKIN GO!,2024-06-28T10:27:52Z
@JoseMarquez-em5wi,Deadpool and Wolverine. The movie that could actually save the MCU . Just a few more weeks away. Can’t imagine what the after credits scenes are gonna be <br>❤️💛,2024-06-28T07:26:41Z
@joshuabittinger6525,It&#39;ll be epic 😂,2024-06-28T06:29:27Z
@RowanComesFlying,I just realized that tj Miller has n̈ot been seen in the new Deadpool movie tf,2024-06-28T06:13:55Z
